calendarDate;nrOfFloorsClimbed
2021-05-20;100
2021-05-21;0
2021-05-22;195
2021-05-23;0
2021-05-24;217
2021-05-25;10
2021-05-26;2
2021-05-27;107
2021-05-28;2
2021-05-29;3
2021-05-30;2
2021-05-31;2
2021-06-01;1
2021-06-02;0
2021-06-03;2
2021-06-04;2
2021-06-05;2
2021-06-06;0
2021-06-07;2
2021-06-08;10
2021-06-09;36
2021-06-10;113
2021-06-11;0
2021-06-12;10
2021-06-13;259
2021-06-14;0
2021-06-15;18
2021-06-16;0
2021-06-17;7
2021-06-18;9
2021-06-19;419
2021-06-20;32
2021-06-21;1
2021-06-22;20
2021-06-23;3
2021-06-24;5
2021-06-25;14
2021-06-26;1
2021-06-27;1
2021-06-28;6
2021-06-29;1
2021-06-30;0
2021-07-01;20
2021-07-02;2
2021-07-03;6
2021-07-04;25
2021-07-05;2
2021-07-06;6
2021-07-07;5
2021-07-08;8
2021-07-09;6
2021-07-10;6
2021-07-11;0
2021-07-12;8
2021-07-13;26
2021-07-14;10
2021-07-15;7
2021-07-16;13
2021-07-17;0
2021-07-18;2
2021-07-19;2
2021-07-20;38
2021-07-21;0
2021-07-22;3
2021-07-23;8
2021-07-24;63
2021-07-25;3
2021-07-26;2
2021-07-27;5
2021-07-28;17
2021-07-29;3
2021-07-30;24
2021-07-31;18
2021-08-01;9
2021-08-02;220
2021-08-03;3
2021-08-04;16
2021-08-05;3
2021-08-06;2
2021-08-07;2
2021-08-08;2
2021-08-09;3
2021-08-10;36
2021-08-11;0
2021-08-12;11
2021-08-13;2
2021-08-14;6
2021-08-15;24
2021-08-16;1
2021-08-17;42
2021-08-18;2
2021-08-19;122
2021-08-20;27
2021-08-21;2
2021-08-22;26
2021-08-23;3
2021-08-24;32
2021-08-25;13
2021-08-26;34
2021-08-27;32
2021-08-28;2
2021-08-29;31
2021-08-30;6
2021-08-31;47
2021-09-01;3
2021-09-02;1
2021-09-03;2
2021-09-04;306
2021-09-05;0
2021-09-06;30
2021-09-07;0
2021-09-08;13
2021-09-09;13
2021-09-10;1
2021-09-11;36
2021-09-12;7
2021-09-13;5
2021-09-14;26
2021-09-15;12
2021-09-16;2
2021-09-17;31
2021-09-18;6
2021-09-19;14
2021-09-20;7
2021-09-21;3
2021-09-22;1
2021-09-23;24
2021-09-24;20
2021-09-25;0
2021-09-26;26
2021-09-27;17
2021-09-28;34
2021-09-29;60
2021-09-30;2
2021-10-01;24
2021-10-02;13
2021-10-03;1
2021-10-04;4
2021-10-05;32
2021-10-06;2
2021-10-07;197
2021-10-08;0
2021-10-09;9
2021-10-10;12
2021-10-11;2
2021-10-12;15
2021-10-13;4
2021-10-14;21
2021-10-15;2
2021-10-16;2
2021-10-17;25
2021-10-18;7
2021-10-19;0
2021-10-20;8
2021-10-21;13
2021-10-22;10
2021-10-23;20
2021-10-24;3
2021-10-25;4
2021-10-26;34
2021-10-27;40
2021-10-28;22
2021-10-29;7
2021-10-30;11
2021-10-31;17
2021-11-01;9
2021-11-02;37
2021-11-03;23
2021-11-04;36
2021-11-05;6
2021-11-06;4
2021-11-07;24
2021-11-08;1
2021-11-09;37
2021-11-10;31
2021-11-11;35
2021-11-12;2
2021-11-13;6
2021-11-14;2
2021-11-15;11
2021-11-16;32
2021-11-17;2
2021-11-18;17
2021-11-19;4
2021-11-20;20
2021-11-21;5
2021-11-22;6
2021-11-23;33
2021-11-24;37
2021-11-25;30
2021-11-26;7
2021-11-27;5
2021-11-28;0
2021-11-29;28
2021-11-30;39
2021-12-01;9
2021-12-02;18
2021-12-03;0
2021-12-04;16
2021-12-05;51
2021-12-06;3
2021-12-07;23
2021-12-08;2
2021-12-09;25
2021-12-10;3
2021-12-11;17
2021-12-12;13
2021-12-13;10
2021-12-14;4
2021-12-15;3
2021-12-16;20
2021-12-17;4
2021-12-18;18
2021-12-19;0
2021-12-20;6
2021-12-21;40
2021-12-22;0
2021-12-23;7
2021-12-24;35
2021-12-25;0
2021-12-26;1
2021-12-27;8
2021-12-28;0
2021-12-29;24
2021-12-30;1
2021-12-31;0
2022-01-01;99
2022-01-02;36
2022-01-03;10
2022-01-04;19
2022-01-05;0
2022-01-06;25
2022-01-07;1
2022-01-08;9
2022-01-09;8
2022-01-10;14
2022-01-11;36
2022-01-12;4
2022-01-13;17
2022-01-14;3
2022-01-15;1
2022-01-16;17
2022-01-17;0
2022-01-18;26
2022-01-19;2
2022-01-20;6
2022-01-21;4
2022-01-22;2
2022-01-23;4
2022-01-24;4
2022-01-25;32
2022-01-26;16
2022-01-27;7
2022-01-28;43
2022-01-29;0
2022-01-30;14
2022-01-31;8
2022-02-01;2
2022-02-02;1
2022-02-03;3
2022-02-04;23
2022-02-05;6
2022-02-06;28
2022-02-07;22
2022-02-08;5
2022-02-09;0
2022-02-10;33
2022-02-11;0
2022-02-12;13
2022-02-13;6
2022-02-14;7
2022-02-15;31
2022-02-16;6
2022-02-17;17
2022-02-18;8
2022-02-19;18
2022-02-20;8
2022-02-21;14
2022-02-22;34
2022-02-23;31
2022-02-24;20
2022-02-25;3
2022-02-26;5
2022-02-27;8
2022-02-28;9
2022-03-01;3
2022-03-02;10
2022-03-03;14
2022-03-04;17
2022-03-05;13
2022-03-06;0
2022-03-07;10
2022-03-08;8
2022-03-09;1
2022-03-10;6
2022-03-11;4
2022-03-12;3
2022-03-13;39
2022-03-14;7
